BW25113_RS01100,WITHOUT NAME
BW25113_RS25420,WITHOUT NAME
BW25113_RS01110,yafV
BW25113_RS01115,ivy
BW25113_RS01120,fadE
BW25113_RS01125,lpcA
BW25113_RS01130,yafJ
BW25113_RS01135,dpaA
BW25113_RS01140,yafQ
BW25113_RS01145,dinJ
BW25113_RS01150,yafL
BW25113_RS01155,rayT
BW25113_RS01160,WITHOUT NAME
BW25113_RS01165,lafU
BW25113_RS01170,dinB
BW25113_RS01175,yafN
BW25113_RS01180,yafO
BW25113_RS01185,yafP
BW25113_RS01190,WITHOUT NAME
BW25113_RS01195,prfH
BW25113_RS01200,pepD
BW25113_RS01205,gpt
BW25113_RS01210,frsA
BW25113_RS01215,crl
BW25113_RS01220,phoE
BW25113_RS01225,proB
BW25113_RS01230,proA
BW25113_RS01235,WITHOUT NAME
BW25113_RS01240,ykfI
BW25113_RS01245,yafW
BW25113_RS23240,ykfH
BW25113_RS01250,ykfG
BW25113_RS01255,yafX
BW25113_RS01260,ykfF
BW25113_RS01265,ykfB
BW25113_RS25425,yafY
BW25113_RS25430,ypjK
BW25113_RS25435,WITHOUT NAME
BW25113_RS01280,yafZ
BW25113_RS01285,ykfA
BW25113_RS01290,perR
BW25113_RS01295,WITHOUT NAME
BW25113_RS01300,WITHOUT NAME
BW25113_RS01305,WITHOUT NAME
BW25113_RS01320,ykfC
BW25113_RS01325,WITHOUT NAME
BW25113_RS01330,mmuP
BW25113_RS01335,mmuM
BW25113_RS01340,fbpC
BW25113_RS01345,WITHOUT NAME
BW25113_RS01350,WITHOUT NAME
BW25113_RS23265,WITHOUT NAME
BW25113_RS01360,WITHOUT NAME
BW25113_RS01365,yagB
BW25113_RS26050,WITHOUT NAME
BW25113_RS01370,yagA
BW25113_RS01375,yagE
BW25113_RS01380,yagF
BW25113_RS01385,yagG
BW25113_RS01390,yagH
BW25113_RS01395,xynR
BW25113_RS01400,argF
BW25113_RS26055,argL
BW25113_RS23270,WITHOUT NAME
BW25113_RS01405,WITHOUT NAME
BW25113_RS01410,yagJ
BW25113_RS01415,yagK
BW25113_RS01420,yagL
BW25113_RS01425,yagM
BW25113_RS01430,ykgV
BW25113_RS01435,yagN
BW25113_RS01440,intF
BW25113_RS01450,WITHOUT NAME
BW25113_RS01455,paoD
BW25113_RS01460,paoC
BW25113_RS01465,paoB
BW25113_RS01470,paoA
BW25113_RS01475,yagU
BW25113_RS01480,ykgJ
BW25113_RS01485,ecpE
BW25113_RS01490,ecpD
BW25113_RS01495,ecpC
BW25113_RS01500,ecpB
BW25113_RS01505,ecpA
BW25113_RS01510,ecpR
BW25113_RS01515,ykgL
BW25113_RS01520,ykgO
BW25113_RS01525,ykgM
BW25113_RS26450,ykgR
BW25113_RS26060,WITHOUT NAME
BW25113_RS01535,WITHOUT NAME
BW25113_RS01545,WITHOUT NAME
BW25113_RS01550,WITHOUT NAME
BW25113_RS25445,WITHOUT NAME
BW25113_RS01555,rclC
BW25113_RS01560,rclB
BW25113_RS01565,rclA
BW25113_RS01570,rclR
BW25113_RS01575,ykgE
BW25113_RS01580,ykgF
BW25113_RS01585,ykgG
BW25113_RS01595,ykgH
BW25113_RS01600,betA
BW25113_RS01605,betB
BW25113_RS01610,betI
BW25113_RS01615,betT
BW25113_RS25450,WITHOUT NAME
BW25113_RS01625,pdeL
BW25113_RS01630,yahB
BW25113_RS01635,yahC
BW25113_RS01640,yahD
BW25113_RS01645,yahE
BW25113_RS01650,fdrA
BW25113_RS01655,yahG
BW25113_RS01660,yahH
BW25113_RS01665,yahI
BW25113_RS01670,yahJ
BW25113_RS26065,WITHOUT NAME
BW25113_RS01675,yahK
BW25113_RS01680,yahL
BW25113_RS01685,yahM
BW25113_RS01690,yahN
BW25113_RS01695,yahO
BW25113_RS01700,prpR
BW25113_RS01705,prpB
BW25113_RS01710,prpC
BW25113_RS01715,prpD
BW25113_RS01720,prpE
BW25113_RS01725,codB
BW25113_RS01730,codA
BW25113_RS01735,cynR
BW25113_RS01740,cynT
BW25113_RS01745,cynS
BW25113_RS01750,cynX
BW25113_RS01755,lacA
BW25113_RS01760,lacY
BW25113_RS01765,WITHOUT NAME
BW25113_RS23320,WITHOUT NAME
BW25113_RS01775,lacI
BW25113_RS01780,mhpR
BW25113_RS01785,mhpA
BW25113_RS01790,mhpB
BW25113_RS01795,mhpC
BW25113_RS01800,WITHOUT NAME
BW25113_RS01805,mhpC
BW25113_RS01810,mhpD
BW25113_RS01815,mhpF
BW25113_RS01820,mhpE
BW25113_RS26310,WITHOUT NAME
BW25113_RS01825,mhpT
BW25113_RS01830,yaiL
BW25113_RS01835,fghA
BW25113_RS01840,frmA
BW25113_RS01845,frmR
BW25113_RS01850,yaiO
BW25113_RS01855,WITHOUT NAME
BW25113_RS01870,WITHOUT NAME
BW25113_RS23340,WITHOUT NAME
BW25113_RS01875,yaiP
BW25113_RS01880,WITHOUT NAME
BW25113_RS01885,tauA
BW25113_RS01890,tauB
BW25113_RS01895,tauC
BW25113_RS01900,tauD
BW25113_RS01905,hemB
BW25113_RS01915,WITHOUT NAME
BW25113_RS01920,WITHOUT NAME
BW25113_RS01930,WITHOUT NAME
BW25113_RS01935,iprA
BW25113_RS01940,ampH
BW25113_RS01950,sbmA
BW25113_RS01955,yaiW
BW25113_RS01960,yaiY
BW25113_RS25465,yaiZ
BW25113_RS01970,ddlA
BW25113_RS25915,WITHOUT NAME
BW25113_RS01980,iraP
BW25113_RS01985,phoA
BW25113_RS01990,psiF
BW25113_RS01995,adrA
BW25113_RS02000,proC
BW25113_RS02005,yaiI
BW25113_RS02010,aroL
BW25113_RS02015,yaiA
BW25113_RS02025,aroM
BW25113_RS02030,ppnP
BW25113_RS02035,WITHOUT NAME
BW25113_RS25470,WITHOUT NAME
BW25113_RS02040,rdgC
BW25113_RS02045,mak
BW25113_RS02050,araJ
BW25113_RS02055,sbcC
BW25113_RS02060,sbcD
BW25113_RS02065,phoB
BW25113_RS02070,phoR
BW25113_RS02075,brnQ
BW25113_RS02080,proY
BW25113_RS02085,malZ
BW25113_RS02090,acpH
BW25113_RS02095,queA
BW25113_RS02100,tgt
BW25113_RS02105,yajC
BW25113_RS02110,secD
BW25113_RS02115,secF
BW25113_RS02120,yajD
BW25113_RS02130,tsx
BW25113_RS02135,yajI
BW25113_RS02140,nrdR
BW25113_RS02145,ribD
BW25113_RS02150,ribE
BW25113_RS02155,nusB
BW25113_RS02160,thiL
BW25113_RS02165,pgpA
BW25113_RS02170,yajO
BW25113_RS02175,dxs
BW25113_RS02180,ispA
BW25113_RS02185,xseB
BW25113_RS02190,thiI
BW25113_RS02195,yajL
BW25113_RS02200,panE
BW25113_RS02205,yajQ
BW25113_RS02210,yajR
BW25113_RS02215,cyoE
BW25113_RS02220,cyoD
BW25113_RS02225,cyoC
BW25113_RS02230,cyoB
BW25113_RS02235,cyoA
BW25113_RS02240,ampG
BW25113_RS02245,yajG
BW25113_RS02250,bolA
BW25113_RS02260,tig
BW25113_RS02265,clpP
BW25113_RS02270,clpX
BW25113_RS02275,lon
BW25113_RS02280,hupB
BW25113_RS02285,ppiD
BW25113_RS02290,ybaV
BW25113_RS02295,fadM
BW25113_RS02300,queC
BW25113_RS02305,ybaE
BW25113_RS02310,cof
BW25113_RS02315,decR
BW25113_RS02320,mdlA
BW25113_RS02325,mdlB
BW25113_RS02330,glnK
BW25113_RS02335,amtB
BW25113_RS02340,tesB
BW25113_RS02345,ybaY
BW25113_RS02350,WITHOUT NAME
BW25113_RS23035,ffs
BW25113_RS02355,ybaA
BW25113_RS02360,pdeB
BW25113_RS02365,ylaC
BW25113_RS02370,maa
BW25113_RS02375,hha
BW25113_RS02380,tomB
BW25113_RS02385,acrB
BW25113_RS02390,acrA
BW25113_RS02395,acrR
BW25113_RS02400,mscK
BW25113_RS02410,rsmS
BW25113_RS02415,priC
BW25113_RS02420,ybaN
BW25113_RS02425,apt
BW25113_RS02430,dnaX
BW25113_RS02435,ybaB
BW25113_RS02440,recR
BW25113_RS02445,htpG
BW25113_RS02450,adk
BW25113_RS02455,hemH
BW25113_RS02460,aes
BW25113_RS02465,gsk
BW25113_RS02470,ybaL
BW25113_RS02475,fsr
BW25113_RS02480,ushA
BW25113_RS02485,ybaK
BW25113_RS02490,ybaP
BW25113_RS02495,ybaQ
BW25113_RS02500,copA
BW25113_RS02505,glsA
BW25113_RS02510,ybaT
BW25113_RS26070,WITHOUT NAME
BW25113_RS02515,cueR
BW25113_RS02520,ybbJ
BW25113_RS02525,qmcA
BW25113_RS02530,fetA
BW25113_RS02535,fetB
BW25113_RS02540,cnoX
BW25113_RS02545,ybbO
BW25113_RS02550,tesA
BW25113_RS02555,ybbA
BW25113_RS02560,ybbP
BW25113_RS02565,rhsD
BW25113_RS02570,ybbC
